,model,categories,sample size,accuracy,confustion matrix,accuracy report,stopwords,class weight
10,"LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)",5CAT,200,64.92537313,"[[ 0  0 10  0]
 [ 0  0 28  0]
 [ 0  0 87  0]
 [ 0  0  9  0]]","             precision    recall  f1-score   support

        1.0       0.00      0.00      0.00        10
        2.0       0.00      0.00      0.00        28
        3.0       0.65      1.00      0.79        87
        4.0       0.00      0.00      0.00         9

avg / total       0.42      0.65      0.51       134
",1,balanced
11,"LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)",5CAT,200,64.92537313,"[[ 0  0 10  0]
 [ 0  0 28  0]
 [ 0  0 87  0]
 [ 0  0  9  0]]","             precision    recall  f1-score   support

        1.0       0.00      0.00      0.00        10
        2.0       0.00      0.00      0.00        28
        3.0       0.65      1.00      0.79        87
        4.0       0.00      0.00      0.00         9

avg / total       0.42      0.65      0.51       134
",2,balanced
12,"LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)",6CAT,556,64.92537313,"[[ 0  0 10  0]
 [ 0  0 28  0]
 [ 0  0 87  0]
 [ 0  0  9  0]]","             precision    recall  f1-score   support

        1.0       0.00      0.00      0.00        10
        2.0       0.00      0.00      0.00        28
        3.0       0.65      1.00      0.79        87
        4.0       0.00      0.00      0.00         9

avg / total       0.42      0.65      0.51       134
",0,balanced
13,"LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)",6CAT,556,64.92537313,"[[ 0  0 10  0]
 [ 0  0 28  0]
 [ 0  0 87  0]
 [ 0  0  9  0]]","             precision    recall  f1-score   support

        1.0       0.00      0.00      0.00        10
        2.0       0.00      0.00      0.00        28
        3.0       0.65      1.00      0.79        87
        4.0       0.00      0.00      0.00         9

avg / total       0.42      0.65      0.51       134
",1,balanced
14,"LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)",6CAT,556,64.92537313,"[[ 0  0 10  0]
 [ 0  0 28  0]
 [ 0  0 87  0]
 [ 0  0  9  0]]","             precision    recall  f1-score   support

        1.0       0.00      0.00      0.00        10
        2.0       0.00      0.00      0.00        28
        3.0       0.65      1.00      0.79        87
        4.0       0.00      0.00      0.00         9

avg / total       0.42      0.65      0.51       134
",2,balanced
15,"LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)",6CAT,200,64.92537313,"[[ 0  0 10  0]
 [ 0  0 28  0]
 [ 0  0 87  0]
 [ 0  0  9  0]]","             precision    recall  f1-score   support

        1.0       0.00      0.00      0.00        10
        2.0       0.00      0.00      0.00        28
        3.0       0.65      1.00      0.79        87
        4.0       0.00      0.00      0.00         9

avg / total       0.42      0.65      0.51       134
",0,balanced
16,"LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)",6CAT,200,64.92537313,"[[ 0  0 10  0]
 [ 0  0 28  0]
 [ 0  0 87  0]
 [ 0  0  9  0]]","             precision    recall  f1-score   support

        1.0       0.00      0.00      0.00        10
        2.0       0.00      0.00      0.00        28
        3.0       0.65      1.00      0.79        87
        4.0       0.00      0.00      0.00         9

avg / total       0.42      0.65      0.51       134
",1,balanced
17,"LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)",6CAT,200,64.92537313,"[[ 0  0 10  0]
 [ 0  0 28  0]
 [ 0  0 87  0]
 [ 0  0  9  0]]","             precision    recall  f1-score   support

        1.0       0.00      0.00      0.00        10
        2.0       0.00      0.00      0.00        28
        3.0       0.65      1.00      0.79        87
        4.0       0.00      0.00      0.00         9

avg / total       0.42      0.65      0.51       134
",2,balanced
18,"LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)",7CAT,556,64.92537313,"[[ 0  0 10  0]
 [ 0  0 28  0]
 [ 0  0 87  0]
 [ 0  0  9  0]]","             precision    recall  f1-score   support

        1.0       0.00      0.00      0.00        10
        2.0       0.00      0.00      0.00        28
        3.0       0.65      1.00      0.79        87
        4.0       0.00      0.00      0.00         9

avg / total       0.42      0.65      0.51       134
",0,balanced
19,"LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)",7CAT,556,64.92537313,"[[ 0  0 10  0]
 [ 0  0 28  0]
 [ 0  0 87  0]
 [ 0  0  9  0]]","             precision    recall  f1-score   support

        1.0       0.00      0.00      0.00        10
        2.0       0.00      0.00      0.00        28
        3.0       0.65      1.00      0.79        87
        4.0       0.00      0.00      0.00         9

avg / total       0.42      0.65      0.51       134
",1,balanced
20,"LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)",7CAT,556,64.92537313,"[[ 0  0 10  0]
 [ 0  0 28  0]
 [ 0  0 87  0]
 [ 0  0  9  0]]","             precision    recall  f1-score   support

        1.0       0.00      0.00      0.00        10
        2.0       0.00      0.00      0.00        28
        3.0       0.65      1.00      0.79        87
        4.0       0.00      0.00      0.00         9

avg / total       0.42      0.65      0.51       134
",2,balanced
21,"LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)",7CAT,200,64.92537313,"[[ 0  0 10  0]
 [ 0  0 28  0]
 [ 0  0 87  0]
 [ 0  0  9  0]]","             precision    recall  f1-score   support

        1.0       0.00      0.00      0.00        10
        2.0       0.00      0.00      0.00        28
        3.0       0.65      1.00      0.79        87
        4.0       0.00      0.00      0.00         9

avg / total       0.42      0.65      0.51       134
",0,balanced
22,"LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)",7CAT,200,64.92537313,"[[ 0  0 10  0]
 [ 0  0 28  0]
 [ 0  0 87  0]
 [ 0  0  9  0]]","             precision    recall  f1-score   support

        1.0       0.00      0.00      0.00        10
        2.0       0.00      0.00      0.00        28
        3.0       0.65      1.00      0.79        87
        4.0       0.00      0.00      0.00         9

avg / total       0.42      0.65      0.51       134
",1,balanced
23,"LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)",7CAT,200,64.92537313,"[[ 0  0 10  0]
 [ 0  0 28  0]
 [ 0  0 87  0]
 [ 0  0  9  0]]","             precision    recall  f1-score   support

        1.0       0.00      0.00      0.00        10
        2.0       0.00      0.00      0.00        28
        3.0       0.65      1.00      0.79        87
        4.0       0.00      0.00      0.00         9

avg / total       0.42      0.65      0.51       134
",2,balanced
24,"LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)",8CAT,556,64.92537313,"[[ 0  0 10  0]
 [ 0  0 28  0]
 [ 0  0 87  0]
 [ 0  0  9  0]]","             precision    recall  f1-score   support

        1.0       0.00      0.00      0.00        10
        2.0       0.00      0.00      0.00        28
        3.0       0.65      1.00      0.79        87
        4.0       0.00      0.00      0.00         9

avg / total       0.42      0.65      0.51       134
",0,balanced
25,"LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)",8CAT,556,64.92537313,"[[ 0  0 10  0]
 [ 0  0 28  0]
 [ 0  0 87  0]
 [ 0  0  9  0]]","             precision    recall  f1-score   support

        1.0       0.00      0.00      0.00        10
        2.0       0.00      0.00      0.00        28
        3.0       0.65      1.00      0.79        87
        4.0       0.00      0.00      0.00         9

avg / total       0.42      0.65      0.51       134
",1,balanced
26,"LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)",8CAT,556,64.92537313,"[[ 0  0 10  0]
 [ 0  0 28  0]
 [ 0  0 87  0]
 [ 0  0  9  0]]","             precision    recall  f1-score   support

        1.0       0.00      0.00      0.00        10
        2.0       0.00      0.00      0.00        28
        3.0       0.65      1.00      0.79        87
        4.0       0.00      0.00      0.00         9

avg / total       0.42      0.65      0.51       134
",2,balanced
27,"LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)",8CAT,200,64.92537313,"[[ 0  0 10  0]
 [ 0  0 28  0]
 [ 0  0 87  0]
 [ 0  0  9  0]]","             precision    recall  f1-score   support

        1.0       0.00      0.00      0.00        10
        2.0       0.00      0.00      0.00        28
        3.0       0.65      1.00      0.79        87
        4.0       0.00      0.00      0.00         9

avg / total       0.42      0.65      0.51       134
",0,balanced
28,"LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)",8CAT,200,64.92537313,"[[ 0  0 10  0]
 [ 0  0 28  0]
 [ 0  0 87  0]
 [ 0  0  9  0]]","             precision    recall  f1-score   support

        1.0       0.00      0.00      0.00        10
        2.0       0.00      0.00      0.00        28
        3.0       0.65      1.00      0.79        87
        4.0       0.00      0.00      0.00         9

avg / total       0.42      0.65      0.51       134
",1,balanced
29,"LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)",8CAT,200,64.92537313,"[[ 0  0 10  0]
 [ 0  0 28  0]
 [ 0  0 87  0]
 [ 0  0  9  0]]","             precision    recall  f1-score   support

        1.0       0.00      0.00      0.00        10
        2.0       0.00      0.00      0.00        28
        3.0       0.65      1.00      0.79        87
        4.0       0.00      0.00      0.00         9

avg / total       0.42      0.65      0.51       134
",2,balanced
